Country,Continent
Afghanistan,Asia
Albania,Europe
Antarctica ,Antarctica
Algeria,Africa
American Samoa,Oceanic
Andorra,Europe
Angola,Africa
Antigua and Barbuda,North America
Azerbaijan,Europe
Azerbaijan,Asia
Argentina,South America
Australia,Oceanic
Austria,Europe
Bahamas,North America
Bahrain,Asia
Bangladesh,Asia
Armenia,Europe
Armenia,Asia
Barbados,North America
Belgium,Europe
Bermuda,North America
Bhutan,Asia
Bolivia,South America
Bosnia and Herzegovina,Europe
Botswana,Africa
Bouvet Island ,Antarctica
Brazil,South America
Belize,North America
British Indian Ocean Territory ,Asia
Solomon Islands,Oceanic
British Virgin Islands,North America
Brunei Darussalam,Asia
Bulgaria,Europe
Myanmar,Asia
Burundi,Africa
Belarus,Europe
Cambodia,Asia
Cameroon,Africa
Canada,North America
Cape Verde,Africa
Cayman Islands,North America
Central African Republic,Africa
Sri Lanka,Asia
Chad,Africa
Chile,South America
China,Asia
Taiwan,Asia
Christmas Island,Asia
Cocos ,Asia
Colombia,South America
Comoros,Africa
Mayotte,Africa
Congo,Africa
Congo,Africa
Cook Islands,Oceanic
Costa Rica,North America
Croatia,Europe
Cuba,North America
Cyprus,Europe
Cyprus,Asia
Czech Republic,Europe
Benin,Africa
Denmark,Europe
Dominica,North America
Dominican Republic,North America
Ecuador,South America
El Salvador,North America
Equatorial Guinea,Africa
Ethiopia,Africa
Eritrea,Africa
Estonia,Europe
Faroe Islands,Europe
Falkland Islands ,South America
South Georgia and the South Sandwich Islands,Antarctica
Fiji,Oceanic
Finland,Europe
Åland Islands,Europe
France,Europe
French Guiana,South America
French Polynesia,Oceanic
French Southern Territories,Antarctica
Djibouti,Africa
Gabon,Africa
Georgia,Europe
Georgia,Asia
Gambia,Africa
Palestinian Territory,Asia
Germany,Europe
Ghana,Africa
Gibraltar,Europe
Kiribati,Oceanic
Greece,Europe
Greenland,North America
Grenada,North America
Guadeloupe,North America
Guam,Oceanic
Guatemala,North America
Guinea,Africa
Guyana,South America
Haiti,North America
Heard Island and McDonald Islands,Antarctica
Holy See ,Europe
Honduras,North America
Hong Kong,Asia
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Ireland,Europe
Israel,Asia
Italy,Europe
Cote d'Ivoire,Africa
Jamaica,North America
Japan,Asia
Kazakhstan,Europe
Kazakhstan,Asia
Jordan,Asia
Kenya,Africa
Korea,Asia
Korea,Asia
Kuwait,Asia
Kyrgyz Republic,Asia
Lao People's Democratic Republic,Asia
Lebanon,Asia
Lesotho,Africa
Latvia,Europe
Liberia,Africa
Libyan Arab Jamahiriya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Macao,Asia
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Martinique,North America
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Monaco,Europe
Mongolia,Asia
Moldova,Europe
Montenegro,Europe
Montserrat,North America
Morocco,Africa
Mozambique,Africa
Oman,Asia
Namibia,Africa
Nauru,Oceanic
Nepal,Asia
Netherlands,Europe
Netherlands Antilles,North America
Curaçao,North America
Aruba,North America
Sint Maarten ,North America
Bonaire,North America
New Caledonia,Oceanic
Vanuatu,Oceanic
New Zealand,Oceanic
Nicaragua,North America
Niger,Africa
Nigeria,Africa
Niue,Oceanic
Norfolk Island,Oceanic
Norway,Europe
Northern Mariana Islands,Oceanic
United States Minor Outlying Islands,Oceanic
United States Minor Outlying Islands,North America
Micronesia,Oceanic
Marshall Islands,Oceanic
Palau,Oceanic
Pakistan,Asia
Panama,North America
Papua New Guinea,Oceanic
Paraguay,South America
Peru,South America
Philippines,Asia
Pitcairn Islands,Oceanic
Poland,Europe
Portugal,Europe
Guinea-Bissau,Africa
Timor-Leste,Asia
Puerto Rico,North America
Qatar,Asia
Reunion,Africa
Romania,Europe
Russian Federation,Europe
Russian Federation,Asia
Rwanda,Africa
Saint Barthelemy,North America
Saint Helena,Africa
Saint Kitts and Nevis,North America
Anguilla,North America
Saint Lucia,North America
Saint Martin,North America
Saint Pierre and Miquelon,North America
Saint Vincent and the Grenadines,North America
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Slovakia ,Europe
Vietnam,Asia
Slovenia,Europe
Somalia,Africa
South Africa,Africa
Zimbabwe,Africa
Spain,Europe
South Sudan,Africa
Western Sahara,Africa
Sudan,Africa
Suriname,South America
Svalbard & Jan Mayen Islands,Europe
Swaziland,Africa
Sweden,Europe
Switzerland,Europe
Syrian Arab Republic,Asia
Tajikistan,Asia
Thailand,Asia
Togo,Africa
Tokelau,Oceanic
Tonga,Oceanic
Trinidad and Tobago,North America
United Arab Emirates,Asia
Tunisia,Africa
Turkey,Europe
Turkey,Asia
Turkmenistan,Asia
Turks and Caicos Islands,North America
Tuvalu,Oceanic
Uganda,Africa
Ukraine,Europe
Macedonia,Europe
Egypt,Africa
United Kingdom of Great Britain & Northern Ireland,Europe
Guernsey,Europe
Jersey,Europe
Isle of Man,Europe
Tanzania,Africa
United States of America,North America
United States Virgin Islands,North America
Burkina Faso,Africa
Uruguay,South America
Uzbekistan,Asia
Venezuela,South America
Wallis and Futuna,Oceanic
Samoa,Oceanic
Yemen,Asia
Zambia,Africa
Disputed Territory,Oceanic
Iraq-Saudi Arabia Neutral Zone,Asia
United Nations Neutral Zone,Asia
Spratly Islands,Asia
